form	lemmaId	lemma	linkType	pos	via	note
josaphat	josaphat.np	Josaphat	self	np. other	Josaphat	
yosaphat	josaphat.np	Josaphat	mutation	np. other	Josaphat	generated-lenition
joseph	joseph.np	Joseph	self	np. personal	Joseph	
yoseph	joseph.np	Joseph	mutation	np. personal	Joseph	generated-lenition
joses	joses.np	Joses	self	np. other	Joses	
yoses	joses.np	Joses	mutation	np. other	Joses	generated-lenition
joshua	joshua.np	Joshua	self	np. personal	Joshua	
yoshua	joshua.np	Joshua	mutation	np. personal	Joshua	generated-lenition
josiah	josiah.np	Josiah	self	np. personal	Josiah	
yosiah	josiah.np	Josiah	mutation	np. personal	Josiah	generated-lenition
josias	josias.np	Josias	self	np. other	Josias	
yosias	josias.np	Josias	mutation	np. other	Josias	generated-lenition
jotham	jotham.np	Jotham	self	np. personal	Jotham	
yotham	jotham.np	Jotham	mutation	np. personal	Jotham	generated-lenition
jozabad	jozabad.np	Jozabad	self	np. other	Jozabad	
yozabad	jozabad.np	Jozabad	mutation	np. other	Jozabad	generated-lenition
juda	judah.np	Judah	variant	np. place	Juda	
yuda	judah.np	Judah	mutation	np. place	Juda	generated-lenition
judah	judah.np	Judah	self	np. place	Judah	
yudah	judah.np	Judah	mutation	np. place	Judah	generated-lenition
judas	judas.np	Judas	self	np. personal	Judas	
yudas	judas.np	Judas	mutation	np. personal	Judas	generated-lenition
jude	jude.np	Jude	self	np. other	Jude	
yude	jude.np	Jude	mutation	np. other	Jude	generated-lenition
judea	judea.np	Judea	self	np. place	Judea	
yudea	judea.np	Judea	mutation	np. place	Judea	generated-lenition
judith	judith.np	Judith	self	np. personal	Judith	
yudith	judith.np	Judith	mutation	np. personal	Judith	generated-lenition
judy	judy.np	Judy	self	np. other	Judy	
yudy	judy.np	Judy	mutation	np. other	Judy	generated-lenition
julius	julius.np	Julius	self	np. other	Julius	
yulius	julius.np	Julius	mutation	np. other	Julius	generated-lenition
july	july.np	July	self	np. other	July	
yuly	july.np	July	mutation	np. other	July	generated-lenition
june	june.np	June	self	np. other	June	
yune	june.np	June	mutation	np. other	June	generated-lenition
jupiter	jupiter.np	Jupiter	self	np. other	Jupiter	
yupiter	jupiter.np	Jupiter	mutation	np. other	Jupiter	generated-lenition
jurby	jurby.np	Jurby	self	np. place	Jurby	
yurby	jurby.np	Jurby	mutation	np. place	Jurby	generated-lenition
justus	justus.np	Justus	self	np. other	Justus	
yustus	justus.np	Justus	mutation	np. other	Justus	generated-lenition
jydoonee	jydoonee.np	Jydoonee	self	np. ethnonym	Jydoonee	
yydoonee	jydoonee.np	Jydoonee	mutation	np. ethnonym	Jydoonee	generated-lenition
jysarn	jysarn.np	Jysarn	self	np. other	Jysarn	
yysarn	jysarn.np	Jysarn	mutation	np. other	Jysarn	generated-lenition
kadesh	kadesh.np	Kadesh	self	np. place	Kadesh	
chadesh	kadesh.np	Kadesh	mutation	np. place	Kadesh	generated-lenition
gadesh	kadesh.np	Kadesh	mutation	np. place	Kadesh	generated-eclipsis
kadesh barnea	kadesh-barnea.np	Kadesh-Barnea	self	np. other	Kadesh-Barnea	
kadeshbarnea	kadesh-barnea.np	Kadesh-Barnea	self	np. other	Kadesh-Barnea	collapsed
kadmiel	kadmiel.np	Kadmiel	self	np. other	Kadmiel	
chadmiel	kadmiel.np	Kadmiel	mutation	np. other	Kadmiel	generated-lenition
gadmiel	kadmiel.np	Kadmiel	mutation	np. other	Kadmiel	generated-eclipsis
kaighin	kaighin.np	Kaighin	self	np. other	Kaighin	
chaighin	kaighin.np	Kaighin	mutation	np. other	Kaighin	generated-lenition
gaighin	kaighin.np	Kaighin	mutation	np. other	Kaighin	generated-eclipsis
karaez	karaez.np	Karaez	self	np. other	Karaez	
charaez	karaez.np	Karaez	mutation	np. other	Karaez	generated-lenition
garaez	karaez.np	Karaez	mutation	np. other	Karaez	generated-eclipsis
karagher	karagher.np	Karagher	self	np. other	Karagher	
charagher	karagher.np	Karagher	mutation	np. other	Karagher	generated-lenition
garagher	karagher.np	Karagher	mutation	np. other	Karagher	generated-eclipsis
karmane	karmane.np	Karmane	self	np. other	Karmane	
garmane	karmane.np	Karmane	mutation	np. other	Karmane	generated-eclipsis
karran	karran.np	Karran	self	np. personal	Karran	
charran	karran.np	Karran	mutation	np. personal	Karran	generated-lenition
kattie	kattie.np	Kattie	self	np. other	Kattie	
chattie	kattie.np	Kattie	mutation	np. other	Kattie	generated-lenition
