flag	senseId	entryPath	gloss
	soylaghey.v#1	cregeen:soylaghey	comparing, typifying, matching
	soylaghey.v#2	cregeen:er ny hoylaghey	to be compared, or being compared, typified or likened;

	surdremagh.a#1	cregeen:surdremagh	trust-worthy, sufficient, fit to trust., The simile in this word is taken from whether a horse will suffer to be rode on the back, sur dreeym agh, sufferable on the back
	surdremagh.a#2	cregeen:ro hurdremagh	too trustworthy

	taghyrt.v#1	cregeen:taghyrt	happening, occurring
	taghyrt.v#2	cregeen:dy haghyrt	to happen

	taitnyssagh.a#1	cregeen:taitnyssagh	pleasant, delightful, acceptable;
	taitnyssagh.a#2	cregeen:ro haitnyssagh	too pleasing

	tastagh.a#1	cregeen:tastagh	knowing, sagacious, intelligent, discerning
	tastagh.a#2	cregeen:ro hastagh	too sharp of notice;

	thallooinagh.a#1	cregeen:thallooinagh	territorial, earthy, terrestrial, composed of land
	thallooinagh.a#2	cregeen:ro hallooinagh	too earthly

	thollaneys.n#1	cregeen:thollaneys	caprice, giddiness
	thollaneys.n#2	cregeen:e hollaneys	his dizziness

	thootagh.a#1	cregeen:thootagh	oafish, not having common sense
	thootagh.a#2	cregeen:ro hootagh	too much an oaf or idiot

	thummey.v#1	cregeen:thummey	dipping, immersing
	thummey.v#2	cregeen:dy hummey	to dip or plunge

	togherys.v#1	cregeen:togherys	winding; also said of a pregnant woman
	togherys.v#2	cregeen:dy hogherys	to wind on a ball or bottom

	toiggal.v#1	cregeen:dy hoiggal	to understand
	toiggal.v#2	cregeen:er doiggal	hath, &c. understood

	traaue.v#1	cregeen:dy hraaue	to plough or make furrows
	traaue.v#2	cregeen:dy chraaue	to plough., This change ought not to be

	tranlaasey.v#1	cregeen:tranlaasey	tyrannising, oppressing, persecuting
	tranlaasey.v#2	cregeen:dy hranlaasey	to tyranize, oppress, or harass

	treihid.n#1	cregeen:treihid	miserableness, paleness
	treihid.n#2	cregeen:e hreihid	his wretchedness, &c

	troailt.v#1	cregeen:troailt	travelling; labour;
	troailt.v#2	cregeen:hroailt	did travel or travail;, In expressing this word when an adjective, after lhiabbee as lhiabbee-hroailt, the r is often omitted or not sounded;

	trocairys.n#1	cregeen:trocairys	justice blended with mercy;, (tro from treoghe, and cairys, justice)
	trocairys.n#2	cregeen:e hrocairys	his affection or favour

	tuarystal.n#1	cregeen:tuarystal	the shape and carriage of the body, the form or appearance;
	tuarystal.n#2	cregeen:nyn duarystal	your, &c. shape, resemblance, or picture

	tunney.v#1	cregeen:tunney	filling casks with ale or beer.
	tunney.v#2	cregeen:dy hunney	to tun

	ve.v#1	cregeen:dy ve	to be, being
	ve.v#2	cregeen:er ve	hath, &c. been, was
	ve.v#3	cregeen:ve	was, were, it was or were

	wheesh.x#1	cregeen:son wheesh	forasmuch, whereas;
	wheesh.x#2	cregeen:wheesh	as much, so much;

	cruittid.n#1	cregeen:cruittid	humpishness
	cruittid.n#2	cregeen:nyn gruittid	your, &c. crookedness

	doltey.n#1	cregeen:doltey	an adopted child, or a child one has stood sponsor for at baptism;
