form	headword	listId	gloss	binomial	note
bollandoo	Bollan-doo	morrison-plants	Burdock	Arctium lappa	
drine drughaigh	Drine drughaigh	morrison-plants	Burnet rose	Rosa spinossima	
drinedrughaigh	Drine drughaigh	morrison-plants	Burnet rose	Rosa spinossima	
curtlagh muck	Curtlagh muck	morrison-plants	Bur-reed (branched)	Sparganium ramosum	
curtlaghmuck	Curtlagh muck	morrison-plants	Bur-reed (branched)	Sparganium ramosum	
lus y steep	Lus-y-steep	morrison-plants	Butterwort	Pinfuicula vulgaris	
lusysteep	Lus-y-steep	morrison-plants	Butterwort	Pinfuicula vulgaris	
blaa ferishyn	Blaa-ferishyn	morrison-plants	Campion (red)	Lychnis diurna	
blaaferishyn	Blaa-ferishyn	morrison-plants	Campion (red)	Lychnis diurna	
carradje keoie	Carradje-keoie	morrison-plants	Carrot (wild)	Daucus carota	
